date,year,quarter,quarter_num,month_num,month_name_de,month_name_en,year_month,week_num,day_of_week,is_weekend,day_num,year_quarter
2011-01-01,2011,Q1,1,1,Januar,January,2011-01,52,Saturday,True,1,2011 Q1
2011-01-02,2011,Q1,1,1,Januar,January,2011-01,52,Sunday,True,2,2011 Q1
2011-01-03,2011,Q1,1,1,Januar,January,2011-01,1,Monday,False,3,2011 Q1
2011-01-04,2011,Q1,1,1,Januar,January,2011-01,1,Tuesday,False,4,2011 Q1
2011-01-05,2011,Q1,1,1,Januar,January,2011-01,1,Wednesday,False,5,2011 Q1
2011-01-06,2011,Q1,1,1,Januar,January,2011-01,1,Thursday,False,6,2011 Q1
2011-01-07,2011,Q1,1,1,Januar,January,2011-01,1,Friday,False,7,2011 Q1
2011-01-08,2011,Q1,1,1,Januar,January,2011-01,1,Saturday,True,8,2011 Q1
2011-01-09,2011,Q1,1,1,Januar,January,2011-01,1,Sunday,True,9,2011 Q1
2011-01-10,2011,Q1,1,1,Januar,January,2011-01,2,Monday,False,10,2011 Q1
2011-01-11,2011,Q1,1,1,Januar,January,2011-01,2,Tuesday,False,11,2011 Q1
2011-01-12,2011,Q1,1,1,Januar,January,2011-01,2,Wednesday,False,12,2011 Q1
2011-01-13,2011,Q1,1,1,Januar,January,2011-01,2,Thursday,False,13,2011 Q1
2011-01-14,2011,Q1,1,1,Januar,January,2011-01,2,Friday,False,14,2011 Q1
2011-01-15,2011,Q1,1,1,Januar,January,2011-01,2,Saturday,True,15,2011 Q1
2011-01-16,2011,Q1,1,1,Januar,January,2011-01,2,Sunday,True,16,2011 Q1
2011-01-17,2011,Q1,1,1,Januar,January,2011-01,3,Monday,False,17,2011 Q1
2011-01-18,2011,Q1,1,1,Januar,January,2011-01,3,Tuesday,False,18,2011 Q1
2011-01-19,2011,Q1,1,1,Januar,January,2011-01,3,Wednesday,False,19,2011 Q1
2011-01-20,2011,Q1,1,1,Januar,January,2011-01,3,Thursday,False,20,2011 Q1
2011-01-21,2011,Q1,1,1,Januar,January,2011-01,3,Friday,False,21,2011 Q1
2011-01-22,2011,Q1,1,1,Januar,January,2011-01,3,Saturday,True,22,2011 Q1
2011-01-23,2011,Q1,1,1,Januar,January,2011-01,3,Sunday,True,23,2011 Q1
2011-01-24,2011,Q1,1,1,Januar,January,2011-01,4,Monday,False,24,2011 Q1
2011-01-25,2011,Q1,1,1,Januar,January,2011-01,4,Tuesday,False,25,2011 Q1
2011-01-26,2011,Q1,1,1,Januar,January,2011-01,4,Wednesday,False,26,2011 Q1
2011-01-27,2011,Q1,1,1,Januar,January,2011-01,4,Thursday,False,27,2011 Q1
2011-01-28,2011,Q1,1,1,Januar,January,2011-01,4,Friday,False,28,2011 Q1
2011-01-29,2011,Q1,1,1,Januar,January,2011-01,4,Saturday,True,29,2011 Q1
2011-01-30,2011,Q1,1,1,Januar,January,2011-01,4,Sunday,True,30,2011 Q1
2011-01-31,2011,Q1,1,1,Januar,January,2011-01,5,Monday,False,31,2011 Q1
2011-02-01,2011,Q1,1,2,Februar,February,2011-02,5,Tuesday,False,1,2011 Q1
